36
1
24
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 11
5 9 14
6 9 15
7 13 16
8 12 17
10 15 18
11 14 19
12 20 21
13 22 23
14 20 22
15 21 23
16 18 23
16 19 22
17 18 21
17 19 20
2
24
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 14
5 9 15
6 14 15
7 13 16
8 12 17
9 11 18
10 11 19
12 20 21
13 22 23
14 20 22
15 21 23
16 18 23
16 19 22
17 18 21
17 19 20
3
24
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 14
5 9 15
6 14 15
7 16 17
8 18 19
9 11 20
10 11 21
12 18 22
12 19 23
13 16 23
13 17 22
14 21 22
15 20 23
16 19 20
17 18 21
4
24
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 10 14
5 9 15
6 14 16
7 17 18
8 19 20
9 11 21
10 16 21
11 15 22
12 19 22
12 20 23
13 17 23
13 18 22
14 15 23
16 17 20
18 19 21
5
24
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 11 14
5 11 15
6 9 10
7 13 16
8 12 17
9 15 18
10 14 19
12 20 21
13 22 23
14 20 22
15 21 23
16 18 23
16 19 22
17 18 21
17 19 20
6
24
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 11 14
5 14 15
6 9 15
7 13 16
8 12 17
9 10 18
10 11 19
12 20 21
13 22 23
14 20 22
15 21 23
16 18 23
16 19 22
17 18 21
17 19 20
7
24
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 11 14
5 14 15
6 9 15
7 16 17
8 18 19
9 10 20
10 11 21
12 18 22
12 19 23
13 16 23
13 17 22
14 21 22
15 20 23
16 19 20
17 18 21
8
24
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 11 14
5 14 15
6 9 16
7 17 18
8 19 20
9 10 21
10 16 22
11 15 21
12 19 22
12 20 23
13 17 23
13 18 22
14 16 23
15 17 20
18 19 21
9
24
1 2 3
0 4 5
0 6 7
0 8 9
1 6 8
1 7 10
2 4 11
2 5 12
3 4 13
3 11 14
5 15 16
6 9 15
7 17 18
8 19 20
9 16 21
10 11 21
10 14 22
12 19 22
12 20 23
13 17 23
