1
1
90
1 2 3
0 21 64
0 38 81
0 4 57
3 5 16
4 6 11
5 7 18
6 8 82
7 9 15
8 10 20
9 13 86
5 12 88
11 13 17
10 12 14 
13 15 19
8 14 16
4 15 17
12 16 18
6 17 19
14 18 20
9 19 21
1 20 22
21 23 33
22 24 28
23 25 36
24 26 30
25 27 38
26 28 34
23 27 29
28 30 32
25 29 31
30 37 39
29 33 42
22 32 34
27 33 35
34 36 44
24 35 37
31 36 38
2 26 37
31 40 45
39 41 63
40 42 43
32 41 46
41 44 45
35 43 60
39 43 46
42 45 47
46 48 58
47 49 53
48 50 63
49 51 55
50 52 61
51 53 57
48 52 54
53 55 59
50 54 56
55 62 64
3 52 58
47 57 59
54 58 60
44 59 61
51 60 62
56 61 63
40 49 62
1 56 65
64 66 76
65 67 71
66 68 79
67 69 73
68 70 81
69 71 77
66 70 72
71 73 75
68 72 74
73 80 87
72 76 85
65 75 77
70 76 78
77 79 82
67 78 80
74 79 81
2 69 80
7 78 83
82 84 89
83 85 86
75 84 88
10 84 87
74 86 89
11 85 89
83 87 88
