298
1
38
1 2 3
0 32 37
0 33 36
0 34 35
11 5 6
10 4 7
8 9 4
9 5 14
10 6 15
13 6 7
8 5 13
12 4 20
17 11 21
9 10 17
16 19 7
8 16 18
22 14 15
12 13 22
19 28 15
18 27 14
25 26 11
24 12 23
16 17 36
32 26 21
25 21 33
24 32 20
33 20 23
35 19 31
18 34 30
37 30 31
35 28 29
34 27 29
1 25 23
24 2 26
3 28 31
27 3 30
2 37 22
1 36 29
2
38
1 2 3
0 35 36
0 33 34
0 32 37
16 5 6
4 13 15
12 4 14
18 20 22
19 21 23
10 21 15
9 20 14
17 12 13
11 6 15
11 5 14
10 13 6
9 12 5
17 4 25
16 11 28
27 23 7
8 27 22
24 10 7
8 9 24
26 19 7
8 18 26
35 20 21
16 34 31
37 22 23
18 19 36
17 35 29
33 28 30
32 34 29
32 25 33
3 30 31
2 29 31
25 2 30
24 1 28
1 27 37
26 3 36
3
38
1 2 3
0 32 35
0 33 34
0 36 37
5 6 7
4 13 15
9 4 12
8 11 4
10 12 7
10 11 6
8 9 14
9 20 7
8 17 6
18 5 14
16 10 13
16 19 5
25 14 15
24 12 21
24 19 13
18 26 15
11 21 22
17 20 23
34 20 31
33 21 30
17 18 35
16 29 37
36 19 28
35 28 29
26 27 37
25 27 36
32 34 23
32 33 22
1 30 31
2 31 23
2 30 22
24 1 27
26 3 29
25 3 28
4
38
1 2 3
0 32 37
0 34 36
0 33 35
28 11 12
16 26 28
10 19 29
8 9 19
15 12 7
13 14 7
13 6 15
17 4 14
8 4 13
9 10 12
9 11 15
8 10 14
27 5 30
27 18 11
17 26 30
23 6 7
25 31 23
24 22 31
25 21 29
24 19 20
32 21 23
32 20 22
18 34 5
16 17 34
33 4 5
33 22 6
16 18 36
35 20 21
24 1 25
3 28 29
2 27 26
3 37 31
2 37 30
1 35 36
5
38
1 2 3
0 32 37
0 34 36
0 33 35
13 5 7
16 11 4
16 26 27
12 19 4
9 10 19
8 18 30
8 17 31
12 5 15
11 14 7
4 14 15
12 13 23
11 13 22
5 6 23
10 21 30
9 21 31
8 22 7
24 28 29
17 18 25
25 19 15
16 24 14
32 20 23
32 21 22
34 29 6
33 28 6
34 27 20
33 26 20
9 35 17
10 36 18
24 1 25
27 3 29
2 28 26
3 37 30
2 37 31
1 35 36
6
38
1 2 3
0 35 37
0 34 36
0 32 33
24 30 22
21 30 23
9 18 29
17 13 15
16 17 14
11 13 6
19 12 15
9 14 15
10 13 14
9 12 7
8 11 12
10 11 7
8 27 29
8 26 7
24 19 6
10 18 23
28 21 22
24 20 5
20 4 23
19 5 22
18 4 21
32 28 31
17 27 37
16 26 36
25 20 33
16 33 6
32 4 5
25 34 35
25 3 30
3 28 29
2 37 31
1 36 31
35 2 27
1 26 34
7
38
1 2 3
0 35 37
0 34 36
0 32 33
8 25 7
24 29 30
28 30 23
19 4 22
20 4 21
16 10 11
9 12 15
9 13 14
17 10 14
18 11 15
11 12 22
10 13 22
9 19 23
18 12 21
17 20 13
16 24 7
8 18 27
8 17 26
15 14 7
16 29 6
19 28 5
32 4 31
27 21 37
36 26 20
24 33 6
33 5 23
32 5 6
25 34 35
25 3 30
3 28 29
2 37 31
1 36 31
35 2 27
1 26 34
8
38
1 2 3
0 35 37
0 34 36
0 32 33
26 27 23
24 25 27
8 29 7
9 6 31
11 28 6
10 28 7
9 13 29
8 12 22
11 13 15
10 12 14
18 19 13
16 17 12
19 21 15
18 20 15
17 21 14
16 20 14
24 17 19
16 18 23
24 26 11
4 21 30
20 5 22
26 5 30
25 4 22
36 4 5
8 9 32
32 10 6
25 33 23
34 35 7
3 28 29
3 37 30
2 37 31
1 36 31
35 2 27
1 34 33
9
38
1 2 3
0 34 35
0 32 37
0 33 36
8 24 7
16 19 14
19 13 15
16 12 4
4 14 15
10 12 22
9 21 23
13 22 21
9 14 7
11 6 23
8 12 5
8 16 6
15 5 7
25 20 28
24 27 20
26 5 6
17 18 31
10 11 30
9 11 29
10 13 29
28 18 4
17 26 27
32 25 19
25 18 34
24 17 33
32 22 23
35 21 31
33 20 30
2 26 29
3 28 31
1 27 37
1 36 30
35 3 37
2 36 34
10
38
1 2 3
0 33 36
0 34 35
0 32 37
9 13 6
10 11 7
12 11 4
12 5 13
16 9 14
8 18 4
17 5 15
20 5 6
18 6 7
4 21 7
8 17 19
16 10 19
8 26 15
10 26 14
9 12 31
30 14 15
11 29 23
24 27 13
24 25 29
25 20 28
28 21 22
27 22 23
16 17 32
25 21 33
24 33 23
34 20 22
35 19 31
32 18 30
26 3 31
1 27 28
2 29 37
2 36 30
1 35 37
34 3 36
11
38
1 2 3
0 33 37
0 34 35
0 32 36
11 5 15
4 6 7
10 5 13
9 5 14
9 10 12
8 13 7
8 14 6
12 18 4
8 19 11
9 20 6
16 10 7
16 17 4
29 14 15
26 22 15
27 11 23
24 28 12
26 13 21
20 22 31
17 21 29
25 18 28
27 25 19
24 30 23
32 17 20
24 33 18
33 19 23
16 32 22
25 35 31
34 21 30
26 3 29
1 27 28
2 37 31
2 36 30
35 3 37
1 34 36
12
38
1 2 3
0 32 37
0 34 36
0 33 35
30 22 23
24 21 30
16 9 27
27 28 13
31 13 15
17 12 6
16 11 12
17 10 25
9 10 18
8 29 7
25 29 15
8 28 14
10 22 6
9 11 22
19 12 21
24 18 26
26 21 23
18 20 5
16 17 4
24 20 4
19 5 23
32 11 14
34 19 20
34 6 7
33 15 7
33 13 14
35 4 5
8 32 36
1 31 25
3 28 29
2 27 26
3 37 30
2 37 31
1 35 36
13
38
1 2 3
0 34 35
0 33 37
0 32 36
16 10 12
9 17 15
9 11 13
8 17 14
16 15 7
14 5 6
18 4 13
18 12 6
19 11 4
10 19 6
9 21 7
8 5 22
8 20 4
20 5 7
10 11 30
28 12 13
16 17 29
25 27 14
26 23 15
24 27 22
25 31 23
24 26 21
32 25 22
34 21 23
35 19 30
33 20 31
33 18 28
24 32 29
26 3 31
2 29 30
1 27 37
1 28 36
35 3 37
2 36 34
14
38
1 2 3
0 32 33
0 36 37
0 34 35
10 18 6
19 11 7
4 13 15
12 5 14
17 26 15
16 25 14
20 11 4
10 5 21
23 13 7
24 12 6
24 9 7
8 6 23
9 26 22
8 25 22
28 4 21
27 20 5
10 19 36
18 11 36
16 17 32
12 37 15
13 14 37
9 33 17
8 16 33
35 19 31
18 34 30
32 30 31
35 28 29
34 27 29
1 29 22
1 26 25
3 28 31
27 3 30
2 20 21
24 2 23
15
38
1 2 3
0 32 37
0 33 36
0 34 35
5 6 13
12 4 7
8 18 4
9 19 5
11 14 6
10 15 7
9 11 17
8 16 10
17 5 15
16 4 14
8 13 21
9 12 20
24 11 13
25 10 12
21 6 23
20 22 7
19 37 15
18 37 14
19 36 31
18 35 30
16 34 29
17 28 33
32 29 30
32 28 31
25 27 36
24 26 35
26 34 23
33 27 22
1 26 27
25 2 31
24 3 30
3 29 23
2 28 22
1 20 21
16
38
1 2 3
0 32 37
0 33 34
0 35 36
8 12 5
10 4 14
15 11 7
9 13 6
9 4 17
8 16 7
18 11 5
10 19 6
16 4 22
17 23 7
25 19 5
24 18 6
9 12 20
8 20 13
10 21 15
11 21 14
16 17 37
18 19 37
28 12 33
34 13 29
31 36 15
35 30 14
32 28 29
32 30 31
26 34 22
33 26 23
25 27 36
24 35 27
1 26 27
2 29 22
2 28 23
25 3 31
24 3 30
1 20 21
17
38
1 2 3
0 33 36
0 34 35
0 32 37
5 6 31
26 4 30
25 4 29
10 28 13
28 12 15
27 12 14
16 19 7
27 20 15
8 9 20
17 14 7
9 19 13
8 18 11
17 10 18
16 13 22
16 21 15
10 22 14
11 12 21
24 18 20
17 19 23
24 26 22
25 21 23
24 30 6
29 5 23
9 11 33
8 34 7
26 35 6
32 25 5
32 33 4
3 30 31
1 27 31
2 28 37
2 36 29
1 35 37
34 3 36
18
38
1 2 3
0 35 37
0 33 34
0 32 36
8 12 13
12 14 7
8 11 7
5 6 13
4 14 6
16 10 21
9 20 15
17 19 6
18 4 5
15 4 7
8 16 5
25 10 13
9 14 25
24 18 11
17 12 23
11 22 23
10 27 29
9 26 28
34 19 31
35 18 19
17 30 33
16 35 15
37 21 29
28 20 37
27 36 21
36 26 20
24 32 34
32 33 22
3 30 31
24 2 31
2 30 22
1 25 23
3 28 29
1 26 27
19
38
1 2 3
0 34 35
0 33 37
0 32 36
5 6 31
24 26 4
25 4 23
27 11 30
9 10 30
8 17 19
8 16 18
28 12 7
11 20 13
19 12 21
18 20 21
16 17 29
10 19 15
9 18 15
17 10 14
16 9 13
26 12 14
25 13 14
24 28 23
26 22 6
25 5 22
24 21 6
20 5 23
35 29 7
32 11 22
33 27 15
8 33 7
32 34 4
3 28 31
2 29 30
1 37 31
1 27 36
35 3 37
2 36 34
20
38
1 2 3
0 34 35
0 33 37
0 32 36
5 6 31
24 4 30
25 26 4
8 9 30
26 23 7
25 22 7
24 27 28
12 13 29
16 17 11
18 11 15
16 28 15
17 13 14
18 12 14
20 12 15
16 13 21
24 20 21
17 19 23
18 19 22
9 26 21
8 25 20
10 19 5
9 6 23
8 22 6
10 35 29
33 10 14
27 33 11
32 5 7
32 34 4
3 30 31
2 28 29
1 37 31
1 27 36
35 3 37
2 36 34
21
38
1 2 3
0 32 33
0 36 37
0 34 35
16 9 7
9 6 17
8 16 5
8 17 4
15 6 7
4 5 14
20 18 12
19 13 21
24 10 15
11 14 23
24 9 13
8 12 23
25 4 6
26 5 7
10 21 22
11 20 22
33 10 19
33 18 11
32 18 19
37 13 15
12 37 14
16 36 31
17 36 30
32 28 29
35 27 31
34 27 30
26 35 29
25 34 28
1 27 22
1 20 21
3 29 31
3 28 30
25 2 26
24 2 23
22
38
1 2 3
0 34 35
0 33 37
0 32 36
25 19 20
24 6 23
8 5 22
13 22 23
16 9 6
8 10 14
9 21 15
12 21 14
16 11 15
24 17 7
9 18 11
10 12 18
8 17 12
16 20 13
19 14 15
18 4 29
17 4 31
10 11 26
27 6 7
5 30 7
27 5 13
28 26 4
32 25 21
24 33 22
25 34 29
32 19 28
35 31 23
33 20 30
26 3 29
2 27 31
1 28 37
1 36 30
35 3 37
2 36 34
23
38
1 2 3
0 32 33
0 34 36
0 35 37
8 11 7
9 11 6
8 10 5
9 10 4
12 4 6
13 5 7
17 6 7
18 4 5
8 16 15
16 9 14
20 13 22
19 12 21
24 12 13
10 28 23
24 11 23
26 22 15
26 21 14
25 20 15
25 19 14
17 18 27
16 18 34
35 21 22
36 19 20
33 31 23
32 17 29
33 28 30
37 29 31
32 27 30
1 28 31
1 27 29
24 2 35
25 34 3
2 26 37
3 36 30
24
38
1 2 3
0 35 37
0 34 36
0 32 33
24 30 22
21 30 23
8 17 7
11 14 6
12 13 6
16 13 14
18 19 29
18 13 7
8 19 14
8 9 11
9 12 7
16 27 29
9 26 15
26 27 6
24 10 11
10 12 23
28 21 22
24 20 5
20 4 23
19 5 22
18 4 21
32 28 31
16 17 37
17 36 15
25 20 33
33 10 15
32 4 5
25 34 35
25 3 30
3 28 29
2 37 31
1 36 31
35 2 27
1 26 34
25
38
1 2 3
0 34 35
0 33 37
0 32 36
5 6 31
26 4 30
24 25 4
8 9 30
27 29 7
23 22 7
11 12 29
10 19 21
10 20 18
25 26 15
16 24 26
24 13 22
25 14 23
18 19 28
17 12 21
17 11 20
19 12 23
18 11 22
9 21 15
16 9 20
14 6 15
16 13 6
5 14 13
8 35 28
17 27 33
8 33 10
32 5 7
32 34 4
3 30 31
2 28 29
1 37 31
1 27 36
35 3 37
2 36 34
26
38
1 2 3
0 34 35
0 33 37
0 32 36
8 17 7
8 16 22
22 14 15
16 10 4
9 4 5
8 10 21
9 14 7
18 12 14
19 11 20
18 20 15
10 11 6
19 13 6
21 5 7
26 4 31
27 11 13
27 12 15
25 12 13
16 9 26
24 5 6
24 25 30
29 22 23
28 20 23
17 21 29
18 19 28
25 27 33
24 32 26
33 35 23
32 17 34
3 29 31
2 28 30
1 37 31
1 36 30
35 3 37
2 36 34
27
38
1 2 3
0 35 37
0 34 36
0 32 33
8 25 28
30 21 22
26 27 29
20 13 29
9 10 4
8 24 22
8 21 23
16 18 15
17 18 14
15 14 7
16 12 13
17 11 13
26 11 14
27 12 15
19 11 12
24 18 20
23 19 7
24 10 5
9 5 23
10 20 22
9 19 21
32 4 31
16 37 6
17 36 6
33 4 30
33 6 7
32 28 5
25 34 35
25 3 30
3 28 29
2 37 31
1 36 31
35 2 27
1 26 34
28
38
1 2 3
0 32 33
0 35 37
0 34 36
5 6 13
8 10 4
11 4 7
9 10 6
9 11 5
8 15 7
18 5 7
8 19 6
28 13 15
12 4 14
13 22 29
9 12 22
24 21 30
20 30 23
25 10 21
25 11 20
24 17 19
16 18 23
26 14 15
17 27 21
16 27 20
18 19 26
25 22 33
24 33 23
36 12 29
28 37 14
16 17 32
32 34 35
1 30 31
1 26 27
3 37 31
2 36 31
35 3 28
2 34 29
29
38
1 2 3
0 34 35
0 33 37
0 32 36
25 5 6
16 18 4
17 4 15
8 12 21
10 22 7
11 13 23
8 24 23
24 9 22
18 13 7
9 12 17
16 19 15
18 14 6
17 5 14
16 13 6
12 5 15
26 20 14
19 21 29
31 20 7
8 27 11
9 10 27
10 11 30
28 26 4
32 25 19
33 22 23
25 34 29
32 28 20
24 35 31
33 21 30
26 3 29
2 27 31
1 28 37
1 36 30
35 3 37
2 36 34
30
38
1 2 3
0 32 33
0 35 37
0 34 36
28 5 30
4 6 7
5 14 21
12 5 13
10 13 14
11 12 14
8 17 12
9 18 13
9 10 7
8 11 7
8 9 6
25 20 29
24 19 29
10 20 23
19 11 23
16 25 18
24 17 15
28 22 6
26 21 30
17 18 26
16 27 20
27 19 15
33 22 23
24 25 33
