298
1
38
1 2 3
0 32 37
0 33 36
0 34 35
5 6 11
4 7 10
4 8 9
5 9 14
6 10 15
6 7 13
5 8 13
4 12 20
11 17 21
9 10 17
7 16 19
8 16 18
14 15 22
12 13 22
15 19 28
14 18 27
11 25 26
12 23 24
16 17 36
21 26 32
21 25 33
20 24 32
20 23 33
19 31 35
18 30 34
30 31 37
28 29 35
27 29 34
1 23 25
2 24 26
3 28 31
3 27 30
2 22 37
1 29 36
2
38
1 2 3
0 35 36
0 33 34
0 32 37
5 6 16
4 13 15
4 12 14
18 20 22
19 21 23
10 15 21
9 14 20
12 13 17
6 11 15
5 11 14
6 10 13
5 9 12
4 17 25
11 16 28
7 23 27
8 22 27
7 10 24
8 9 24
7 19 26
8 18 26
20 21 35
16 31 34
22 23 37
18 19 36
17 29 35
28 30 33
29 32 34
25 32 33
3 30 31
2 29 31
2 25 30
1 24 28
1 27 37
3 26 36
3
38
1 2 3
0 32 35
0 33 34
0 36 37
5 6 7
4 13 15
4 9 12
4 8 11
7 10 12
6 10 11
8 9 14
7 9 20
6 8 17
5 14 18
10 13 16
5 16 19
14 15 25
12 21 24
13 19 24
15 18 26
11 21 22
17 20 23
20 31 34
21 30 33
17 18 35
16 29 37
19 28 36
28 29 35
26 27 37
25 27 36
23 32 34
22 32 33
1 30 31
2 23 31
2 22 30
1 24 27
3 26 29
3 25 28
4
38
1 2 3
0 32 37
0 34 36
0 33 35
11 12 28
16 26 28
10 19 29
8 9 19
7 12 15
7 13 14
6 13 15
4 14 17
4 8 13
9 10 12
9 11 15
8 10 14
5 27 30
11 18 27
17 26 30
6 7 23
23 25 31
22 24 31
21 25 29
19 20 24
21 23 32
20 22 32
5 18 34
16 17 34
4 5 33
6 22 33
16 18 36
20 21 35
1 24 25
3 28 29
2 26 27
3 31 37
2 30 37
1 35 36
5
38
1 2 3
0 32 37
0 34 36
0 33 35
5 7 13
4 11 16
16 26 27
4 12 19
9 10 19
8 18 30
8 17 31
5 12 15
7 11 14
4 14 15
12 13 23
11 13 22
5 6 23
10 21 30
9 21 31
7 8 22
24 28 29
17 18 25
15 19 25
14 16 24
20 23 32
21 22 32
6 29 34
6 28 33
20 27 34
20 26 33
9 17 35
10 18 36
1 24 25
3 27 29
2 26 28
3 30 37
2 31 37
1 35 36
6
38
1 2 3
0 35 37
0 34 36
0 32 33
22 24 30
21 23 30
9 18 29
13 15 17
14 16 17
6 11 13
12 15 19
9 14 15
10 13 14
7 9 12
8 11 12
7 10 11
8 27 29
7 8 26
6 19 24
10 18 23
21 22 28
5 20 24
4 20 23
5 19 22
4 18 21
28 31 32
17 27 37
16 26 36
20 25 33
6 16 33
4 5 32
25 34 35
3 25 30
3 28 29
2 31 37
1 31 36
2 27 35
1 26 34
7
38
1 2 3
0 35 37
0 34 36
0 32 33
7 8 25
24 29 30
23 28 30
4 19 22
4 20 21
10 11 16
9 12 15
9 13 14
10 14 17
11 15 18
11 12 22
10 13 22
9 19 23
12 18 21
13 17 20
7 16 24
8 18 27
8 17 26
7 14 15
6 16 29
5 19 28
4 31 32
21 27 37
20 26 36
6 24 33
5 23 33
5 6 32
25 34 35
3 25 30
3 28 29
2 31 37
1 31 36
2 27 35
1 26 34
8
38
1 2 3
0 35 37
0 34 36
0 32 33
23 26 27
24 25 27
7 8 29
6 9 31
6 11 28
7 10 28
9 13 29
8 12 22
11 13 15
10 12 14
13 18 19
12 16 17
15 19 21
15 18 20
14 17 21
14 16 20
17 19 24
16 18 23
11 24 26
4 21 30
5 20 22
5 26 30
4 22 25
4 5 36
8 9 32
6 10 32
23 25 33
7 34 35
3 28 29
3 30 37
2 31 37
1 31 36
2 27 35
1 33 34
9
38
1 2 3
0 34 35
0 32 37
0 33 36
7 8 24
14 16 19
13 15 19
4 12 16
4 14 15
10 12 22
9 21 23
13 21 22
7 9 14
6 11 23
5 8 12
6 8 16
5 7 15
20 25 28
20 24 27
5 6 26
17 18 31
10 11 30
9 11 29
10 13 29
4 18 28
17 26 27
19 25 32
18 25 34
17 24 33
22 23 32
21 31 35
20 30 33
2 26 29
3 28 31
1 27 37
1 30 36
3 35 37
2 34 36
10
38
1 2 3
0 33 36
0 34 35
0 32 37
6 9 13
7 10 11
4 11 12
5 12 13
9 14 16
4 8 18
5 15 17
5 6 20
6 7 18
4 7 21
8 17 19
10 16 19
8 15 26
10 14 26
9 12 31
14 15 30
11 23 29
13 24 27
24 25 29
20 25 28
21 22 28
22 23 27
16 17 32
21 25 33
23 24 33
20 22 34
19 31 35
18 30 32
3 26 31
1 27 28
2 29 37
2 30 36
1 35 37
3 34 36
11
38
1 2 3
0 33 37
0 34 35
0 32 36
5 11 15
4 6 7
5 10 13
5 9 14
9 10 12
7 8 13
6 8 14
4 12 18
8 11 19
6 9 20
7 10 16
4 16 17
14 15 29
15 22 26
11 23 27
12 24 28
13 21 26
20 22 31
17 21 29
18 25 28
19 25 27
23 24 30
17 20 32
18 24 33
19 23 33
16 22 32
25 31 35
21 30 34
3 26 29
1 27 28
2 31 37
2 30 36
3 35 37
1 34 36
12
38
1 2 3
0 32 37
0 34 36
0 33 35
22 23 30
21 24 30
9 16 27
13 27 28
13 15 31
6 12 17
11 12 16
10 17 25
9 10 18
7 8 29
15 25 29
8 14 28
6 10 22
9 11 22
12 19 21
18 24 26
21 23 26
5 18 20
4 16 17
4 20 24
5 19 23
11 14 32
19 20 34
6 7 34
7 15 33
13 14 33
4 5 35
8 32 36
1 25 31
3 28 29
2 26 27
3 30 37
2 31 37
1 35 36
13
38
1 2 3
0 34 35
0 33 37
0 32 36
10 12 16
9 15 17
9 11 13
8 14 17
7 15 16
5 6 14
4 13 18
6 12 18
4 11 19
6 10 19
7 9 21
5 8 22
4 8 20
5 7 20
10 11 30
12 13 28
16 17 29
14 25 27
15 23 26
22 24 27
23 25 31
21 24 26
22 25 32
21 23 34
19 30 35
20 31 33
18 28 33
24 29 32
3 26 31
2 29 30
1 27 37
1 28 36
3 35 37
2 34 36
14
38
1 2 3
0 32 33
0 36 37
0 34 35
6 10 18
7 11 19
4 13 15
5 12 14
15 17 26
14 16 25
4 11 20
5 10 21
7 13 23
6 12 24
7 9 24
6 8 23
9 22 26
8 22 25
4 21 28
5 20 27
10 19 36
11 18 36
16 17 32
12 15 37
13 14 37
9 17 33
8 16 33
19 31 35
18 30 34
30 31 32
28 29 35
27 29 34
1 22 29
1 25 26
3 28 31
3 27 30
2 20 21
2 23 24
15
38
1 2 3
0 32 37
0 33 36
0 34 35
5 6 13
4 7 12
4 8 18
5 9 19
6 11 14
7 10 15
9 11 17
8 10 16
5 15 17
4 14 16
8 13 21
9 12 20
11 13 24
10 12 25
6 21 23
7 20 22
15 19 37
14 18 37
19 31 36
18 30 35
16 29 34
17 28 33
29 30 32
28 31 32
25 27 36
24 26 35
23 26 34
22 27 33
1 26 27
2 25 31
3 24 30
3 23 29
2 22 28
1 20 21
16
38
1 2 3
0 32 37
0 33 34
0 35 36
5 8 12
4 10 14
7 11 15
6 9 13
4 9 17
7 8 16
5 11 18
6 10 19
4 16 22
7 17 23
5 19 25
6 18 24
9 12 20
8 13 20
10 15 21
11 14 21
16 17 37
18 19 37
12 28 33
13 29 34
15 31 36
14 30 35
28 29 32
30 31 32
22 26 34
23 26 33
25 27 36
24 27 35
1 26 27
2 22 29
2 23 28
3 25 31
3 24 30
1 20 21
17
38
1 2 3
0 33 36
0 34 35
0 32 37
5 6 31
4 26 30
4 25 29
10 13 28
12 15 28
12 14 27
7 16 19
15 20 27
8 9 20
7 14 17
9 13 19
8 11 18
10 17 18
13 16 22
15 16 21
10 14 22
11 12 21
18 20 24
17 19 23
22 24 26
21 23 25
6 24 30
5 23 29
9 11 33
7 8 34
6 26 35
5 25 32
4 32 33
3 30 31
1 27 31
2 28 37
2 29 36
1 35 37
3 34 36
18
38
1 2 3
0 35 37
0 33 34
0 32 36
8 12 13
7 12 14
7 8 11
5 6 13
4 6 14
10 16 21
9 15 20
6 17 19
4 5 18
4 7 15
5 8 16
10 13 25
9 14 25
11 18 24
12 17 23
11 22 23
10 27 29
9 26 28
19 31 34
18 19 35
17 30 33
15 16 35
21 29 37
20 28 37
21 27 36
20 26 36
24 32 34
22 32 33
3 30 31
2 24 31
2 22 30
1 23 25
3 28 29
1 26 27
19
38
1 2 3
0 34 35
0 33 37
0 32 36
5 6 31
4 24 26
4 23 25
11 27 30
9 10 30
8 17 19
8 16 18
7 12 28
11 13 20
12 19 21
18 20 21
16 17 29
10 15 19
9 15 18
10 14 17
9 13 16
12 14 26
13 14 25
23 24 28
6 22 26
5 22 25
6 21 24
5 20 23
7 29 35
11 22 32
15 27 33
7 8 33
4 32 34
3 28 31
2 29 30
1 31 37
1 27 36
3 35 37
2 34 36
20
38
1 2 3
0 34 35
0 33 37
0 32 36
5 6 31
4 24 30
4 25 26
8 9 30
7 23 26
7 22 25
24 27 28
12 13 29
11 16 17
11 15 18
15 16 28
13 14 17
12 14 18
12 15 20
13 16 21
20 21 24
17 19 23
18 19 22
9 21 26
8 20 25
5 10 19
6 9 23
6 8 22
10 29 35
10 14 33
11 27 33
5 7 32
4 32 34
3 30 31
2 28 29
1 31 37
1 27 36
3 35 37
2 34 36
21
38
1 2 3
0 32 33
0 36 37
0 34 35
7 9 16
6 9 17
5 8 16
4 8 17
6 7 15
4 5 14
12 18 20
13 19 21
10 15 24
11 14 23
9 13 24
8 12 23
4 6 25
5 7 26
10 21 22
11 20 22
10 19 33
11 18 33
18 19 32
13 15 37
12 14 37
16 31 36
17 30 36
28 29 32
27 31 35
27 30 34
26 29 35
25 28 34
1 22 27
1 20 21
3 29 31
3 28 30
2 25 26
2 23 24
22
38
1 2 3
0 34 35
0 33 37
0 32 36
19 20 25
6 23 24
5 8 22
13 22 23
6 9 16
8 10 14
9 15 21
12 14 21
11 15 16
7 17 24
9 11 18
10 12 18
8 12 17
13 16 20
14 15 19
4 18 29
4 17 31
10 11 26
6 7 27
5 7 30
5 13 27
4 26 28
21 25 32
22 24 33
25 29 34
19 28 32
23 31 35
20 30 33
3 26 29
2 27 31
1 28 37
1 30 36
3 35 37
2 34 36
23
38
1 2 3
0 32 33
0 34 36
0 35 37
7 8 11
6 9 11
5 8 10
4 9 10
4 6 12
5 7 13
6 7 17
4 5 18
8 15 16
9 14 16
13 20 22
12 19 21
12 13 24
10 23 28
11 23 24
15 22 26
14 21 26
15 20 25
14 19 25
17 18 27
16 18 34
21 22 35
19 20 36
23 31 33
17 29 32
28 30 33
29 31 37
27 30 32
1 28 31
1 27 29
2 24 35
3 25 34
2 26 37
3 30 36
24
38
1 2 3
0 35 37
0 34 36
0 32 33
22 24 30
21 23 30
7 8 17
6 11 14
6 12 13
13 14 16
18 19 29
7 13 18
8 14 19
8 9 11
7 9 12
16 27 29
9 15 26
6 26 27
10 11 24
10 12 23
21 22 28
5 20 24
4 20 23
5 19 22
4 18 21
28 31 32
16 17 37
15 17 36
20 25 33
10 15 33
4 5 32
25 34 35
3 25 30
3 28 29
2 31 37
1 31 36
2 27 35
1 26 34
25
38
1 2 3
0 34 35
0 33 37
0 32 36
5 6 31
4 26 30
4 24 25
8 9 30
7 27 29
7 22 23
11 12 29
10 19 21
10 18 20
15 25 26
16 24 26
13 22 24
14 23 25
18 19 28
12 17 21
11 17 20
12 19 23
11 18 22
9 15 21
9 16 20
6 14 15
6 13 16
5 13 14
8 28 35
17 27 33
8 10 33
5 7 32
4 32 34
3 30 31
2 28 29
1 31 37
1 27 36
3 35 37
2 34 36
26
38
1 2 3
0 34 35
0 33 37
0 32 36
7 8 17
8 16 22
14 15 22
4 10 16
4 5 9
8 10 21
7 9 14
12 14 18
11 19 20
15 18 20
6 10 11
6 13 19
5 7 21
4 26 31
11 13 27
12 15 27
12 13 25
9 16 26
5 6 24
24 25 30
22 23 29
20 23 28
17 21 29
18 19 28
25 27 33
24 26 32
23 33 35
17 32 34
3 29 31
2 28 30
1 31 37
1 30 36
3 35 37
2 34 36
27
38
1 2 3
0 35 37
0 34 36
0 32 33
8 25 28
21 22 30
26 27 29
13 20 29
4 9 10
8 22 24
8 21 23
15 16 18
14 17 18
7 14 15
12 13 16
11 13 17
11 14 26
12 15 27
11 12 19
18 20 24
7 19 23
5 10 24
5 9 23
10 20 22
9 19 21
4 31 32
6 16 37
6 17 36
4 30 33
6 7 33
5 28 32
25 34 35
3 25 30
3 28 29
2 31 37
1 31 36
2 27 35
1 26 34
28
38
1 2 3
0 32 33
0 35 37
0 34 36
5 6 13
4 8 10
4 7 11
6 9 10
5 9 11
7 8 15
5 7 18
6 8 19
13 15 28
4 12 14
13 22 29
9 12 22
21 24 30
20 23 30
10 21 25
11 20 25
17 19 24
16 18 23
14 15 26
17 21 27
16 20 27
18 19 26
22 25 33
23 24 33
12 29 36
14 28 37
16 17 32
32 34 35
1 30 31
1 26 27
3 31 37
2 31 36
3 28 35
2 29 34
29
38
1 2 3
0 34 35
0 33 37
0 32 36
5 6 25
4 16 18
4 15 17
8 12 21
7 10 22
11 13 23
8 23 24
9 22 24
7 13 18
9 12 17
15 16 19
6 14 18
5 14 17
6 13 16
5 12 15
14 20 26
19 21 29
7 20 31
8 11 27
9 10 27
10 11 30
4 26 28
19 25 32
22 23 33
25 29 34
20 28 32
24 31 35
21 30 33
3 26 29
2 27 31
1 28 37
1 30 36
3 35 37
2 34 36
30
38
1 2 3
0 32 33
0 35 37
0 34 36
5 28 30
4 6 7
5 14 21
5 12 13
10 13 14
11 12 14
8 12 17
9 13 18
7 9 10
7 8 11
6 8 9
20 25 29
19 24 29
10 20 23
11 19 23
16 18 25
15 17 24
6 22 28
21 26 30
17 18 26
16 20 27
15 19 27
22 23 33
24 25 33
